,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,total_number_of_reviews,reviewer_score,lat,lng
391344,Oude Haagseweg 20 Slotervaart 1066 BW Amsterdam Netherlands,215,8/1/2017,7.8,Mercure Hotel Amsterdam West,1945,7.9,52.3375677,4.8178171999999995
391352,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,8/1/2016,8.7,Austria Trend Hotel Doppio Wien,3010,9.6,48.185431200000004,16.404884
391778,Oudeschans 75 Amsterdam City Center 1011 KW Amsterdam Netherlands,125,8/2/2017,9.3,Luxury Suites Amsterdam,720,10.0,52.370261299999996,4.9032489
391857,Roelof Hartstraat 1 Oud Zuid 1071 VE Amsterdam Netherlands,72,11/7/2016,8.3,The College Hotel,561,7.5,52.3527675,4.88373
391870,Roger de Lluria 28 Eixample 08010 Barcelona Spain,79,3/5/2017,8.5,Roger de Ll ria,596,9.6,41.3910786,2.1717285
392009,Oudezijds Voorburgwal 197 Amsterdam City Center 1012 EX Amsterdam Netherlands,144,7/16/2017,9.2,Sofitel Legend The Grand Amsterdam,870,3.8,52.370835,4.895403
392262,Ronda Sant Pere 9 Eixample 08010 Barcelona Spain,198,6/1/2017,9.4,Catalonia Square 4 Sup,1711,9.6,41.3885658,2.1712991
392449,Rosell n 174 176 Eixample 08036 Barcelona Spain,164,4/24/2016,8.5,Bcn Urban Hotels Gran Rosellon,2383,7.5,41.4226648,2.1464261000000002
392680,Rossell 265 Eixample 08008 Barcelona Spain,91,1/18/2016,8.9,Hotel Omm,631,10.0,41.3962468,2.1609551
393260,Rotensterngasse 10 02 Leopoldstadt 1020 Vienna Austria,129,8/11/2016,8.5,Hotel Imlauer Wien,1152,7.9,48.2176776,16.3821364
393285,Rotensterngasse 7a 02 Leopoldstadt 1020 Vienna Austria,75,1/10/2017,8.1,Hotel Nestroy Wien,682,7.5,48.21783320000001,16.3821636
393602,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,8/2/2017,8.4,Hampton by Hilton Amsterdam Centre East,1769,9.2,52.3714428,4.9346331
393867,Paral lel 115 Sants Montju c 08004 Barcelona Spain,110,1/2/2016,8.2,Silken Concordia,1034,7.5,41.374787299999994,2.1611846000000003
393965,Papagenogasse 6 06 Mariahilf 1060 Vienna Austria,62,7/26/2017,8.9,Hotel Beethoven Wien,578,10.0,48.2000165,16.3641802
394269,Sch nbrunner Stra e 41 05 Margareten 1050 Vienna Austria,144,7/23/2017,8.4,Arthotel ANA Prime,1813,10.0,48.19255820000001,16.3576071
394285,Park Lane Westminster Borough London W1K 7TN United Kingdom,184,7/22/2017,7.9,Grosvenor House A JW Marriott Hotel,564,2.5,51.508201899999996,-0.1545589
394529,Parkring 12 01 Innere Stadt 1010 Vienna Austria,251,8/2/2017,9.0,Hotel Am Parkring,2304,9.6,48.205633299999995,16.377861499999998
394539,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,111,2/27/2017,9.2,Palais Hansen Kempinski Vienna,865,9.6,48.2163149,16.3685103
394698,Schubertring 5 7 01 Innere Stadt 1010 Vienna Austria,77,12/27/2015,8.9,The Ritz Carlton Vienna,470,8.3,48.202274200000005,16.3762615
394864,Schulerstra e 14 01 Innere Stadt 1010 Vienna Austria,113,7/30/2017,8.9,Hotel Domizil,1558,10.0,48.2080479,16.375612
394963,Parkring 12a 01 Innere Stadt 1010 Vienna Austria,130,8/1/2017,8.2,Vienna Marriott Hotel,939,5.5,48.2050967,16.3770928
395171,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,146,8/3/2017,9.2,H10 Port Vell 4 Sup,1261,9.2,41.3815625,2.1838458
395615,Paseo de Gracia 73 Eixample 08008 Barcelona Spain,163,8/1/2017,8.7,Condes de Barcelona,1319,10.0,41.3935497,2.1627098
395878,Paseo de Gracia 75 Eixample 08008 Barcelona Spain,132,7/29/2017,9.3,Monument Hotel,849,10.0,41.393908200000006,2.1622556
396004,Silvio Pellico 4 Milan City Center 20121 Milan Italy,254,7/30/2017,9.3,Room Mate Giulia,2011,9.6,45.46513710000001,9.1895249
396121,Paseo Garc a Faria 37 47 Sant Mart 08019 Barcelona Spain,241,8/1/2017,8.2,Occidental Atenea Mar Adults Only,2500,9.2,41.402362100000005,2.2119049
396590,Paseo Garc a I Faria 69 71 Sant Mart 08019 Barcelona Spain,81,6/23/2016,7.5,Hotel Front Maritim,747,8.3,41.4037972,2.213767
396741,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,160,8/1/2017,8.1,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,1560,7.9,41.4101306,2.2188047
397030,Passeig Colom 12 Ciutat Vella 08002 Barcelona Spain,156,7/29/2017,8.9,Duquesa de Cardona,904,10.0,41.3798658,2.1805271
397294,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,102,8/3/2017,9.6,Hotel The Serras,604,10.0,41.3801815,2.180688
397335,Passeig de Gr cia 29 Eixample 08007 Barcelona Spain,172,6/8/2017,8.3,Eurostars Bcn Design,1601,4.2,41.3907208,2.1660732000000005
397727,Passeig de Gr cia 38 40 Eixample 08007 Barcelona Spain,44,4/5/2016,9.0,Mandarin Oriental Barcelona,283,10.0,41.391393,2.1668467000000002
397856,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,101,8/3/2017,9.0,Hotel Casa Fuster G L Monumento,935,10.0,41.3980162,2.1581229
397884,Passeig de Gracia 68 Eixample 08007 Barcelona Spain,337,11/6/2015,8.9,Majestic Hotel Spa Barcelona GL,1769,6.7,41.3935179,2.1639812999999997
398082,Passeig de Gracia 62 Eixample 08007 Barcelona Spain,129,7/30/2017,9.2,Sixtytwo Hotel,1010,9.6,41.3930168,2.1646148
398141,Passeig de Gracia 84 Eixample 08008 Barcelona Spain,393,4/16/2017,8.6,Royal Passeig de Gracia,3823,7.9,41.3946775,2.1626380000000003
399533,Passeig de Picasso 26 30 Ciutat Vella 08003 Barcelona Spain,211,7/24/2017,8.9,K K Hotel Picasso,1517,7.5,41.386622700000004,2.1840722
399609,Passeig de Sant Antoni 36 40 Sants Montju c 08014 Barcelona Spain,42,12/10/2016,8.0,AC Hotel Sants a Marriott Lifestyle Hotel,575,7.0,41.377557700000004,2.1384686
399890,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,71,10/16/2015,7.9,Hilton Diagonal Mar Barcelona,503,7.9,41.4084334,2.2178205
400330,Pau Claris 150 Eixample 08009 Barcelona Spain,154,8/3/2017,8.6,Claris Hotel Spa GL,931,10.0,41.3944848,2.1651078
400558,Pau Claris 179 Eixample 08037 Barcelona Spain,56,8/2/2017,9.6,H10 Casa Mimosa 4 Sup,454,9.6,41.3962106,2.1621171
400674,Pelai 28 Ciutat Vella 08002 Barcelona Spain,532,8/2/2017,8.6,Catalonia Ramblas 4 Sup,4276,10.0,41.3856387,2.1668274
401564,Pelayo 14 Ciutat Vella 08001 Barcelona Spain,72,7/31/2017,9.2,Hotel Midmost,460,10.0,41.38561729999999,2.1659487
401738,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,146,8/3/2017,9.1,The Rookery,501,8.8,51.520171000000005,-0.10246300000000001
401999,Petersplatz 9 01 Innere Stadt 1010 Vienna Austria,173,7/28/2017,8.5,Hotel Wandl,1799,9.6,48.2097026,16.3703902
402440,Piazza della Repubblica 13 Central Station 20124 Milan Italy,93,7/30/2017,9.2,ME Milan Il Duca,683,10.0,45.4793852,9.1961308
402583,Piazza Della Repubblica 17 Central Station 20124 Milan Italy,241,5/14/2017,9.1,Hotel Principe Di Savoia,1543,10.0,45.479888,9.1962982
402839,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy,185,2/18/2016,9.4,Excelsior Hotel Gallia Luxury Collection Hotel,1345,9.6,45.4857027,9.2020127
402866,Piazza della Repubblica 20 Central Station 20124 Milan Italy,116,7/28/2017,8.5,The Westin Palace,736,9.6,45.479035700000004,9.199028
404355,Piazza Fontana 3 Milan City Center 20122 Milan Italy,563,2/13/2016,8.6,Rosa Grand Milano Starhotels Collezione,4000,6.3,45.4638223,9.1940273
405344,Piazza Gerusalemme 6 Sempione 20154 Milan Italy,323,6/19/2017,8.0,Hotel Mozart,4015,7.5,45.483413299999995,9.1666361
405420,Piazza Gerusalemme 12 Sempione 20154 Milan Italy,26,7/28/2017,8.1,TownHouse 12,370,7.9,45.4844028,9.1673528
405995,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,301,8/3/2017,8.4,Hotel Dei Cavalieri,3445,8.8,45.4608547,9.1886179
406602,Piazza Lima 2 Central Station 20124 Milan Italy,298,8/2/2017,8.5,Best Western Plus Hotel Galles,3550,10.0,45.4805847,9.2117326
407138,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,264,12/28/2016,8.7,Starhotels Anderson,2698,7.5,45.4852549,9.206950099999998
408333,Piazza Oberdan 12 Milan City Center 20129 Milan Italy,47,8/2/2017,8.4,Hotel Mercure Milano Centro,515,8.3,45.4747809,9.2059385
408345,Piazza Quattro Novembre 3 Central Station 20124 Milan Italy,121,6/22/2017,8.8,NYX Milan,1056,7.1,45.4868745,9.2018406
408767,Piazzale Lugano 10 Bovisa 20158 Milan Italy,33,7/9/2017,7.6,Hotel Sunflower,594,10.0,45.498503,9.1664111
408818,Piccadilly Westminster Borough London W1J 7BX United Kingdom,91,7/18/2017,8.1,Sheraton Grand London Park Lane,376,7.5,51.5092876,-0.13700620000000002
409851,Pla a Antonio L pez 5 Ciutat Vella 08002 Barcelona Spain,117,7/30/2017,9.1,Duquesa Suites Barcelona,946,9.2,41.3810421,2.1814294
409916,Pla a Urquinaona 2 Eixample 08010 Barcelona Spain,205,6/26/2017,9.1,H10 Urquinaona Plaza,1875,9.6,41.389212799999996,2.1726015
410133,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,488,8/2/2017,8.2,Hotel SB Diagonal Zero Barcelona 4 Sup,4645,10.0,41.4111652,2.2192012
410981,Pla a Reial 1 Ciutat Vella 08001 Barcelona Spain,40,7/30/2017,9.3,Hotel DO Pla a Reial G L ,252,9.6,41.3799929,2.1748256
411014,Pla a Rosa dels Vents 1 Passeig Joan de Borbo Ciutat Vella 08039 Barcelona Spain,332,10/18/2016,8.5,W Barcelona,2708,10.0,41.368437,2.1901534
412146,Place Andr Malraux 1st arr 75001 Paris France,172,7/31/2017,8.3,Hotel du Louvre in the Unbound Collection by Hyatt,1120,9.6,48.86397879999999,2.3352615
412434,Place de l Op ra 4 rue Meyerbeer 9th arr 75009 Paris France,32,6/13/2017,8.2,W Paris Op ra,150,5.0,48.8719697,2.3316014
412474,Plaza Carlos Iba ez 3 Sants Montju c 08038 Barcelona Spain,109,7/20/2017,8.7,Hotel Miramar Barcelona GL,977,9.6,41.370304100000006,2.17141
413469,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,419,8/3/2017,8.4,Catalonia Barcelona Plaza,4527,9.6,41.375029299999994,2.1491172
414306,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,420,5/21/2017,8.6,Barcel Sants,4379,10.0,41.3798964,2.1412432999999997
415237,Plaza Parade Camden London NW6 5RP United Kingdom,278,8/2/2017,8.1,London Marriott Maida Vale,1042,7.5,51.5357597,-0.19025910000000001
416222,Poultry 27 City of London London EC2R 8AJ United Kingdom,175,7/18/2017,9.3,The Ned,517,9.6,51.5135929,-0.09078330000000001
416502,Praterstra e 1 02 Leopoldstadt 1020 Vienna Austria,137,7/26/2017,9.0,Sofitel Vienna Stephansdom,1148,8.5,48.212857,16.37986
416678,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,207,8/3/2017,8.3,Grand Hotel Amr th Amsterdam,1530,9.6,52.3744149,4.9041443
417208,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,482,8/2/2017,9.0,art otel Amsterdam,3158,9.6,52.377743,4.897057
417998,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,8/2/2017,8.6,NH Collection Amsterdam Barbizon Palace,2865,7.9,52.3764175,4.900220099999999
418122,Prinsengracht 315 331 Amsterdam City Center 1016 GZ Amsterdam Netherlands,182,2/17/2017,9.1,Pulitzer Amsterdam,909,10.0,52.37283529999999,4.883326
